STATISTIC,Statistic Label,YEAR,Year,FUNCTION,Type of function,BEDTYPE,Bed type,UNIT,VALUE,FLAG,Flag
HOSPBEDFUNC,Hospital beds by function and type,2019,2019,REHAB,Beds for rehabilitative care function,PSYCH,Psychiatric care type beds,Number,0,,
HOSPBEDFUNC,Hospital beds by function and type,2020,2020,REHAB,Beds for rehabilitative care function,PSYCH,Psychiatric care type beds,Number,0,,
HOSPBEDFUNC,Hospital beds by function and type,2021,2021,REHAB,Beds for rehabilitative care function,PSYCH,Psychiatric care type beds,Number,0,,
HOSPBEDFUNC,Hospital beds by function and type,2022,2022,REHAB,Beds for rehabilitative care function,PSYCH,Psychiatric care type beds,Number,0,,
HOSPBEDFUNC,Hospital beds by function and type,2023,2023,REHAB,Beds for rehabilitative care function,PSYCH,Psychiatric care type beds,Number,0,,
HOSPBEDFUNC,Hospital beds by function and type,2009,2009,LTC,Beds for long-term care function,TOT,All types of beds,Number,932,,
HOSPBEDFUNC,Hospital beds by function and type,2010,2010,LTC,Beds for long-term care function,TOT,All types of beds,Number,888,,
HOSPBEDFUNC,Hospital beds by function and type,2011,2011,LTC,Beds for long-term care function,TOT,All types of beds,Number,763,,
HOSPBEDFUNC,Hospital beds by function and type,2012,2012,LTC,Beds for long-term care function,TOT,All types of beds,Number,675,,
HOSPBEDFUNC,Hospital beds by function and type,2013,2013,LTC,Beds for long-term care function,TOT,All types of beds,Number,692,,
HOSPBEDFUNC,Hospital beds by function and type,2014,2014,LTC,Beds for long-term care function,TOT,All types of beds,Number,587,,
HOSPBEDFUNC,Hospital beds by function and type,2015,2015,LTC,Beds for long-term care function,TOT,All types of beds,Number,640,,
HOSPBEDFUNC,Hospital beds by function and type,2016,2016,LTC,Beds for long-term care function,TOT,All types of beds,Number,699,,
HOSPBEDFUNC,Hospital beds by function and type,2017,2017,LTC,Beds for long-term care function,TOT,All types of beds,Number,731,,
HOSPBEDFUNC,Hospital beds by function and type,2018,2018,LTC,Beds for long-term care function,TOT,All types of beds,Number,736,,
HOSPBEDFUNC,Hospital beds by function and type,2019,2019,LTC,Beds for long-term care function,TOT,All types of beds,Number,755,,
HOSPBEDFUNC,Hospital beds by function and type,2020,2020,LTC,Beds for long-term care function,TOT,All types of beds,Number,761,,
HOSPBEDFUNC,Hospital beds by function and type,2021,2021,LTC,Beds for long-term care function,TOT,All types of beds,Number,795,,
HOSPBEDFUNC,Hospital beds by function and type,2022,2022,LTC,Beds for long-term care function,TOT,All types of beds,Number,843,,
HOSPBEDFUNC,Hospital beds by function and type,2023,2023,LTC,Beds for long-term care function,TOT,All types of beds,Number,968,,
HOSPBEDFUNC,Hospital beds by function and type,2009,2009,LTC,Beds for long-term care function,SOM,Somatic care type beds,Number,271,,
HOSPBEDFUNC,Hospital beds by function and type,2010,2010,LTC,Beds for long-term care function,SOM,Somatic care type beds,Number,317,,
HOSPBEDFUNC,Hospital beds by function and type,2011,2011,LTC,Beds for long-term care function,SOM,Somatic care type beds,Number,328,,
HOSPBEDFUNC,Hospital beds by function and type,2012,2012,LTC,Beds for long-term care function,SOM,Somatic care type beds,Number,381,,
HOSPBEDFUNC,Hospital beds by function and type,2013,2013,LTC,Beds for long-term care function,SOM,Somatic care type beds,Number,401,,
HOSPBEDFUNC,Hospital beds by function and type,2014,2014,LTC,Beds for long-term care function,SOM,Somatic care type beds,Number,279,,
HOSPBEDFUNC,Hospital beds by function and type,2015,2015,LTC,Beds for long-term care function,SOM,Somatic care type beds,Number,338,,
HOSPBEDFUNC,Hospital beds by function and type,2016,2016,LTC,Beds for long-term care function,SOM,Somatic care type beds,Number,437,,
HOSPBEDFUNC,Hospital beds by function and type,2017,2017,LTC,Beds for long-term care function,SOM,Somatic care type beds,Number,471,,
HOSPBEDFUNC,Hospital beds by function and type,2018,2018,LTC,Beds for long-term care function,SOM,Somatic care type beds,Number,471,,
HOSPBEDFUNC,Hospital beds by function and type,2019,2019,LTC,Beds for long-term care function,SOM,Somatic care type beds,Number,491,,
HOSPBEDFUNC,Hospital beds by function and type,2020,2020,LTC,Beds for long-term care function,SOM,Somatic care type beds,Number,502,,
HOSPBEDFUNC,Hospital beds by function and type,2021,2021,LTC,Beds for long-term care function,SOM,Somatic care type beds,Number,504,,
HOSPBEDFUNC,Hospital beds by function and type,2022,2022,LTC,Beds for long-term care function,SOM,Somatic care type beds,Number,514,,
HOSPBEDFUNC,Hospital beds by function and type,2023,2023,LTC,Beds for long-term care function,SOM,Somatic care type beds,Number,681,,
HOSPBEDFUNC,Hospital beds by function and type,2009,2009,LTC,Beds for long-term care function,PSYCH,Psychiatric care type beds,Number,661,,
HOSPBEDFUNC,Hospital beds by function and type,2010,2010,LTC,Beds for long-term care function,PSYCH,Psychiatric care type beds,Number,571,,
HOSPBEDFUNC,Hospital beds by function and type,2011,2011,LTC,Beds for long-term care function,PSYCH,Psychiatric care type beds,Number,435,,
HOSPBEDFUNC,Hospital beds by function and type,2012,2012,LTC,Beds for long-term care function,PSYCH,Psychiatric care type beds,Number,294,,
HOSPBEDFUNC,Hospital beds by function and type,2013,2013,LTC,Beds for long-term care function,PSYCH,Psychiatric care type beds,Number,291,,
HOSPBEDFUNC,Hospital beds by function and type,2014,2014,LTC,Beds for long-term care function,PSYCH,Psychiatric care type beds,Number,308,,
HOSPBEDFUNC,Hospital beds by function and type,2015,2015,LTC,Beds for long-term care function,PSYCH,Psychiatric care type beds,Number,302,,
HOSPBEDFUNC,Hospital beds by function and type,2016,2016,LTC,Beds for long-term care function,PSYCH,Psychiatric care type beds,Number,262,,
HOSPBEDFUNC,Hospital beds by function and type,2017,2017,LTC,Beds for long-term care function,PSYCH,Psychiatric care type beds,Number,260,,
HOSPBEDFUNC,Hospital beds by function and type,2018,2018,LTC,Beds for long-term care function,PSYCH,Psychiatric care type beds,Number,265,,
HOSPBEDFUNC,Hospital beds by function and type,2019,2019,LTC,Beds for long-term care function,PSYCH,Psychiatric care type beds,Number,264,,
HOSPBEDFUNC,Hospital beds by function and type,2020,2020,LTC,Beds for long-term care function,PSYCH,Psychiatric care type beds,Number,259,,
HOSPBEDFUNC,Hospital beds by function and type,2021,2021,LTC,Beds for long-term care function,PSYCH,Psychiatric care type beds,Number,291,,
